시도,선거구명,사진,기호,소속정당명,성명(한자),성별,생년월일(연령),주소,직업,학력,경력,재산신고액(천원),병역신고사항(본인),납세실적(천원)-납부액,납세실적(천원)-최근5년간체납액,납세실적(천원)-현체납액,전과기록유무(건수),입후보횟수,공약링크,나이,생년원일
서울특별시,중구성동구갑,nan,2,미래통합당,진수희(陳壽姬),여,1955.11.12(64세),서울특별시 성동구 성수일로4길,정당인,미국 일리노이대학교 대학원(UIC) 사회학박사(1988.9~1991.6),"(전)국회의원(제17대 비례,18대 성동구갑)(전)보건복지부 장관",1436273,해당없음(비대상),33829,0,0,1건,2회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137129,64세,1955.11.12
서울특별시,중구성동구갑,nan,6,정의당,정혜연(鄭惠然),여,1989.11.21(30세),서울특별시 성동구 왕십리로4가길,약사,이화여자대학교 약학대학 약학과 졸업,(전)정의당 부대표(현)성동구약사회 약사,-30629,해당없음(비대상),2724,1379,0,없음,1회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135174,30세,1989.11.21
서울특별시,중구성동구갑,nan,7,국가혁명배당금당,이정섭(李廷燮),여,1955.05.26(64세),서울특별시 성동구 왕십리로,한양대학교 명예교수,이화여자대학교 대학원졸업(간호학박사),(전)성동구정신건강센터 자문위원(현)대한에니어그램영성학회 감사,2574556,해당없음(비대상),140813,4519,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135881,64세,1955.05.26
서울특별시,중구성동구을,nan,1,더불어민주당,박성준(朴省俊),남,1969.04.23(50세),서울특별시 중구 청파로,정당인,성균관대학교 정치외교학과 정치학 박사,(전) JTBC 아나운서(현)더불어민주당 중앙당 부대변인,2046415,군복무를 마친사람,74118,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137489,50세,1969.04.23
서울특별시,중구성동구을,nan,2,미래통합당,지상욱(池尙昱),남,1965.05.16(54세),서울특별시 중구 동호로17길,정치인,일본 동경대학교 공학대학원 졸업(1994.4. ~ 1997. 3. 건축학 박사),(전)미국 스탠포드 후버연구소 객원연구원(현)국회의원,5060601,군복무를 마치지 아니한 사람,84139,0,0,1건,2회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137376,54세,1965.05.16
서울특별시,중구성동구을,nan,7,국가혁명배당금당,이주양(李柱養),남,1967.05.03(52세),서울특별시 중구 퇴계로83길,회사원,여주 상업고등학교 졸업,(현)정원조명 영업사원(전)덕양조명 대표,10000,군복무를 마친사람,3294,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136800,52세,1967.05.03
서울특별시,용산구,nan,1,더불어민주당,강태웅(姜泰雄),남,1963.08.29(56세),서울특별시 용산구 백범로,정당인,서울대학교 행정대학원 졸업(행정학 석사),(전)서울특별시 행정1부시장(전)서울특별시 경제진흥본부장,1635095,군복무를 마친사람,69926,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136730,56세,1963.08.29
서울특별시,용산구,nan,2,미래통합당,권영세(權寧世),남,1959.02.24(61세),서울특별시 용산구 이태원로27길,변호사,하버드대학교 케네디스쿨 졸업 (행정학석사 2000.7~2001.6),(전) 주중국대한민국 대사(전) 제16ㆍ17ㆍ18대 국회의원,4315075,군복무를 마친사람,445891,0,0,없음,5회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100134818,61세,1959.02.24
서울특별시,용산구,nan,3,민생당,권혁문(權赫文),남,1963.02.09(57세),서울특별시 용산구 백범로90다길,(주)코암 전무이사,한국기술교육대학교 테크노인력개발전문대학원 (고용정책학) 박사과정 재학중,(전) 정치+경제연구소 이사장(전) 동반성장 국가혁신포럼 상임위원,321000,군복무를 마친사람,22,0,0,1건,5회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136295,57세,1963.02.09
서울특별시,용산구,nan,6,정의당,정연욱(鄭然旭),남,1969.03.28(51세),서울특별시 용산구 원효로,정당인,한국방송통신대학교 관광학과 졸업,(전) 용산화상경마도박장추방대책위 고문(현) 정의당 용산평화타운조성특별위원장,412925,군복무를 마친사람,8469,0,0,없음,3회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136441,51세,1969.03.28
서울특별시,용산구,nan,7,민중당,김은희(金恩姬),여,1976.09.17(43세),서울특별시 용산구 백범로47길,사회단체 활동가,덕성여자대학교 사회학과 졸업,(현)용산미군기지 온전히 되찾기 주민모임 대표(현)작은도서관 고래이야기 운영위원,162579,해당없음(비대상),278,0,0,3건,2회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135206,43세,1976.09.17
서울특별시,용산구,nan,8,국가혁명배당금당,김희전(金喜奠),여,1942.03.07(78세),서울특별시 용산구 서빙고로,약사,이화여자대학교 약학대학 약학과 졸업,(전) 도봉강북약사회 여약사회장(현) 한국여약사회 부회장,9045000,해당없음(비대상),228598,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135731,78세,1942.03.07
서울특별시,광진구갑,nan,1,더불어민주당,전혜숙(全惠淑),여,1955.05.05(64세),서울특별시 광진구 광나루로,국회의원,성균관대학교 임상약학대학원 약학석사(사회약학),(현) 제20대 광진구갑 국회의원(현) 국회 행정안전위원회 위원장,1460178,해당없음(비대상),57748,0,0,없음,3회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137525,64세,1955.05.05
서울특별시,광진구갑,nan,2,미래통합당,김병민(金炳玟),남,1982.02.04(38세),서울특별시 광진구 아차산로70길,경희대학교 행정학과 객원교수,경희대학교 행정학 박사,(현) 정치.시사평론가(전) 경희대학교 총학생회장,437331,군복무를 마친사람,6646,0,0,없음,1회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136966,38세,1982.02.04
서울특별시,광진구갑,nan,3,민생당,임동순(任東淳),남,1954.02.09(66세),서울특별시 광진구 동일로68길,정당인,국민대학교 정치대학원 정치학 석사,(현) 민생당 광진구갑 지역위원장(전) 제5대 서울시의회 의원,2141512,군복무를 마친사람,39812,0,0,없음,6회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137443,66세,1954.02.09
서울특별시,광진구갑,nan,6,정의당,오봉석(吳奉錫),남,1974.04.10(46세),서울특별시 광진구 천호대로112길,정당인,강원대학교 정치외교학과 졸업,(현 )정의당 광진구위원장(전) 광진구마을공동체지원단장,605552,군복무를 마친사람,13171,0,0,3건,1회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135290,46세,1974.04.10
서울특별시,광진구갑,nan,7,국가혁명배당금당,이승욱(李丞勖),남,1967.04.03(53세),서울특별시 강동구 천호대로,자영업,서강대학교 경영학과 2년 중퇴(1986.3.~1988.6),(전)기아자동차 영업직(전)오렌지라이프 생명보험 설계사 및 매니져,0,군복무를 마친사람,4048,0,0,1건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100138027,53세,1967.04.03
서울특별시,광진구을,nan,1,더불어민주당,고민정(高旼廷),여,1979.08.23(40세),서울특별시 광진구 광나루로56길,정당인,경희대학교 외국어학부 동아시아어학과(중국어 전공) 졸업,(전) 문재인 정부 청와대 대변인(전) KBS 아나운서,729831,해당없음(비대상),33482,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137348,40세,1979.08.23
서울특별시,광진구을,nan,2,미래통합당,오세훈(吳世勳),남,1961.01.04(59세),서울특별시 광진구 능동로4길,변호사,고려대학교 법학대학원 졸업(법학박사),"(전) 제33, 34대 서울특별시장(전) 16대 국회의원",5731089,군복무를 마친사람,193725,17731,0,없음,4회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100134916,59세,1961.01.04
서울특별시,광진구을,nan,7,국가혁명배당금당,허정연(許禎延),여,1965.12.20(54세),서울특별시 광진구 아차산로,정당인,미국 사우스베일로 대학교 (한의학석사) (2002.3~2005.6),(전) KHB 클리닉 원장(현) 국가혁명배당금당 공천관리위원,690000,해당없음(비대상),2225,0,0,3건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137723,54세,1965.12.20
서울특별시,광진구을,nan,8,미래당,오태양(吳太陽),남,1975.10.26(44세),서울특별시 광진구 뚝섬로54길,정당인,서울교육대학교 초등교육과(국어) 졸업,(전) 청년당 사무총장(현) 미래당 공동대표,0,군복무를 마치지 아니한 사람,42,0,0,1건,1회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137773,44세,1975.10.26
서울특별시,동대문구갑,nan,1,더불어민주당,안규백(安圭伯),남,1961.04.29(58세),서울특별시 동대문구 한천로63길,국회의원,성균관대학교 무역대학원 무역학과 석사과정 수료,(현)제20대 동대문구갑 국회의원(현)국회 국방위원장,5652587,군복무를 마친사람,129159,0,0,없음,3회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137155,58세,1961.04.29
서울특별시,동대문구갑,nan,2,미래통합당,허용범(許容範),남,1964.10.10(55세),서울특별시 동대문구 한천로,정당인,하버드대학교 정치행정대학원 정치행정학석사(2000.6.~2001.6),(전)국회도서관장(전)국회 대변인,909153,군복무를 마친사람,34856,0,0,1건,3회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100134760,55세,1964.10.10
서울특별시,동대문구갑,nan,3,민생당,백금산(白金山),남,1958.06.13(61세),서울특별시 동대문구 휘경로19길,정당인,한국외국어대학교 정치행정언론대학원 공공감사정책학과 석사과정 수료,(전)동대문구의회 의원(전)서울특별시의회 의원,398886,군복무를 마친사람,8160,0,0,1건,4회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137328,61세,1958.06.13
서울특별시,동대문구갑,nan,7,민중당,오준석(吳俊錫),남,1985.02.28(35세),서울특별시 동대문구 이문로12길,정당인,경희대학교 공공대학원 시민사회·NGO학과 졸업(시민사회(NGO)학석사),(현)행동하는 동대문연대 운영위원장(현)민중당 방위비분담금인상저지운동본부 공동대표,2092,군복무를 마친사람,900,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135165,35세,1985.02.28
서울특별시,동대문구갑,nan,8,국가혁명배당금당,정공명(鄭公明),남,1955.03.20(65세),서울특별시 동대문구 경동시장로,광고업,문평초등학교 졸업,(현)은성광고 대표,5000,군복무를 마치지 아니한 사람,123,126,126,1건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135952,65세,1955.03.20
서울특별시,동대문구갑,nan,9,무소속,이가현(李佳賢),여,1992.09.12(27세),서울특별시 동대문구 이문로1길,페미니스트 활동가,서강대학교 정치외교학과 졸업,(현)불꽃페미액션 활동가(전)페미당 창당모임 주비위원,688013,해당없음(비대상),13990,0,0,2건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136485,27세,1992.09.12
서울특별시,동대문구을,nan,1,더불어민주당,장경태(張耿態),남,1983.10.12(36세),서울특별시 동대문구 전농로27길,정당인,성균관대학교 국정전문대학원 행정학과 수료(박사학위과정),(현)문재인 대통령직속 국가균형발전위원회 국민소통특별위원(현)더불어민주당 도시교통특별위원장,281000,군복무를 마친사람,1417,0,0,없음,2회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136804,36세,1983.10.12
서울특별시,동대문구을,nan,2,미래통합당,이혜훈(李惠薰),여,1964.06.15(55세),서울특별시 동대문구 장한로20길,국회의원,UCLA대학원 경제학 박사(1988.09.~1993.12.),(현)3선 국회의원(전)국회 정보위원회 위원장,6146235,해당없음(비대상),607107,0,0,없음,3회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137434,55세,1964.06.15
서울특별시,동대문구을,nan,7,민중당,김종민(金鍾민),남,1986.01.01(34세),서울특별시 동대문구 서울시립대로28나길,정당인,서울시립대학교 국사학과 졸업,(전)서울시립대 총학생회장(현)청년전태일 대표,29988,군복무를 마친사람,230,0,0,없음,1회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100134720,34세,1986.01.01
서울특별시,동대문구을,nan,8,국가혁명배당금당,박경희(朴慶姬),여,1954.10.25(65세),서울특별시 동대문구 왕산로16나길,정당인,벌교상업고등학교 졸업,(전)속셈(보습)학원 운영(현)국가혁명배당금당 동대문구 을 당협위원장,150000,해당없음(비대상),793,0,0,1건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135739,65세,1954.10.25
서울특별시,중랑구갑,nan,1,더불어민주당,서영교(徐瑛敎),여,1964.11.11(55세),서울특별시 중랑구 면목로37길,국회의원,이화여자대학교대학원 동아시아학연구 비교정치경제전공 박사학위과정수료,(전)더불어민주당 원내수석부대표(현)제20대 국회의원,1888174,해당없음(비대상),170280,0,0,1건,2회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135715,55세,1964.11.11
서울특별시,중랑구갑,nan,2,미래통합당,김삼화(金三和),여,1962.08.01(57세),서울특별시 중랑구 사가정로72길,변호사,서울시립대학교 도시행정대학원(현 도시과학대학원) 세무관리학과졸업(경영학 석사),(전) 제20대 국회의원(전) 대한변호사회 부협회장,10093840,해당없음(비대상),191697,0,0,없음,1회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137496,57세,1962.08.01
서울특별시,중랑구갑,nan,3,민생당,이기현(李起炫),남,1956.03.02(64세),서울특별시 중랑구 면목로30길,정당인,한양대학교 대학원 국어국문학과 박사과정 졸업 문학박사,(전)한양여자고등학교 교사(전)한양대학교 강사,95664,군복무를 마친사람,73,0,0,1건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137956,64세,1956.03.02
서울특별시,중랑구갑,nan,6,정의당,김지수(金智秀),남,1993.12.28(26세),서울특별시 중랑구 중랑천로,정당인,선린인터넷고등학교 졸업,(현)정의당 중랑구위원회 위원장(현)심상정 대표 사회복지 특보,5000,군복무를 마친사람,0,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135250,26세,1993.12.28
서울특별시,중랑구갑,nan,7,민중당,성치화(成治和),남,1991.04.19(28세),서울특별시 중랑구 봉우재로53길,정당인,서울시립대학교 철학과 졸업,(현)청년민중당 집행위원장(현)민중당 기후위기특별위원장,37340,군복무를 마친사람,73,0,0,없음,1회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100134751,28세,1991.04.19
서울특별시,중랑구갑,nan,8,국가혁명배당금당,박명수(朴明洙),남,1943.11.26(76세),서울특별시 중랑구 사가정로60길,회사원,미기재,(현)국가혁명배당금당 중랑구갑 지역협의회 위원장,-248920,군복무를 마친사람,42414,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135635,76세,1943.11.26
서울특별시,중랑구갑,nan,9,무소속,이성복(李聖福),남,1957.02.09(63세),서울특별시 중랑구 용마산로94길,까페운영,육군사관학교 기계공학과 졸업,(전)육군중령 예편(전)컴퓨터 프로그래머,289000,군복무를 마친사람,8930,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135584,63세,1957.02.09
서울특별시,중랑구을,nan,1,더불어민주당,박홍근(朴洪根),남,1969.10.08(50세),서울특별시 중랑구 봉화산로,제20대 국회의원,경희대학교 행정대학원 환경행정학과 졸업(행정학석사),"(현) 국회의원(제19대, 20대)(전) 더불어민주당 원내수석부대표",426638,군복무를 마치지 아니한 사람,57507,0,0,2건,2회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137170,50세,1969.10.08
서울특별시,중랑구을,nan,2,미래통합당,윤상일(尹相逸),남,1955.01.19(65세),서울특별시 중랑구 송림길,정당인,성균관대학교 중어중문학과 졸업,(전)제18대 국회의원(현)대한민국 헌정회 운영위원,9156348,군복무를 마친사람,624446,453,0,2건,1회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136294,65세,1955.01.19
서울특별시,중랑구을,nan,7,민중당,이소영(李素瑛),여,1987.03.29(33세),서울특별시 중랑구 용마산로111길,정당인,삼육대학교 사회복지학과 졸업,(현)민중당 중랑지역위원장(현)민중당 중랑구 불평등해소 특위 위원장,-80463,해당없음(비대상),894,0,0,1건,3회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100134931,33세,1987.03.29
서울특별시,중랑구을,nan,8,국가혁명배당금당,신황우(申璜雨),남,1951.03.18(69세),서울특별시 중랑구 신내로17길,정당인(서울시부위원장),서울시립대학교 도시과학대학원 도시행정학과 졸업(행정학석사),(전) 서울시 공무원,936598,군복무를 마친사람,3066,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135944,69세,1951.03.18
서울특별시,중랑구을,nan,9,한국복지당,민정기(閔貞基),남,1955.10.21(64세),서울특별시 중랑구 봉화산로56길,무극정기(주) 대표,고려대학교 경영대학원 석사과정 재무관리전공 경영학석사,(전)산업통상자원부 행정관 정년퇴직(현)한국효문화연구원 이사,894000,군복무를 마친사람,7831,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137197,64세,1955.10.21
서울특별시,성북구갑,nan,1,더불어민주당,김영배(金永培),남,1967.03.08(53세),서울특별시 성북구 고려대로2길,정당인,고려대학교 정치외교학과 졸업,"(전) 민선5기, 6기 성북구청장(전) 문재인대통령 청와대비서관(정책조정/민정)",321253,군복무를 마치지 아니한 사람,34389,0,0,없음,2회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135069,53세,1967.03.08
서울특별시,성북구갑,nan,2,미래통합당,한상학(韓相鶴),남,1962.03.12(58세),서울특별시 성북구 고려대로6길,치과의사원장,고려대학교 대학원 신소재공학과 졸업 (공학박사),(현)대한치과의원 원장(전문의)(현)재단법인 한국지식문화재단 이사,5646106,군복무를 마친사람,385201,0,0,3건,2회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137406,58세,1962.03.12
서울특별시,성북구갑,nan,3,민생당,박춘림(朴春林),여,1962.03.12(58세),서울특별시 성북구 정릉로24길,정당인,국민대학교정치대학원 의회·지방정치전공(정치학석사),(현)민생당 성북갑지역위원장(전)제7회 지방선거 성북구청장선거 후보,12400,해당없음(비대상),11156,3844,0,없음,2회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137740,58세,1962.03.12
서울특별시,성북구갑,nan,7,국가혁명배당금당,최원용(崔源用),남,1970.07.15(49세),서울특별시 성북구 솔샘로5길,정당인,경서고등학교 졸업,(전) 기아자동차 디지털단지 근무(현) 국가혁명배당금당 성북구갑당협위원장,117600,군복무를 마치지 아니한 사람,1453,0,0,1건,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135902,49세,1970.07.15
서울특별시,성북구을,nan,1,더불어민주당,기동민(奇東旻),남,1966.02.23(54세),서울특별시 성북구 숭인로,국회의원,성균관대학교 언론정보대학원 언론학 석사,(현)더불어민주당 서울 성북을 국회의원(전)서울시 정무부시장,1984993,군복무를 마친사람,29469,0,0,2건,2회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136215,54세,1966.02.23
서울특별시,성북구을,nan,2,미래통합당,정태근(鄭泰根),남,1964.01.08(56세),서울특별시 성북구 종암로19길,(사)시민을위한정책연구원 이사장,연세대학교 경제대학원 공공발전전공 석사과정 졸업,(전)제18대 국회의원(전)서울특별시 정무부시장,877067,군복무를 마치지 아니한 사람,112066,0,0,3건,6회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137082,56세,1964.01.08
서울특별시,성북구을,nan,7,민중당,편재승(片在承),남,1968.12.26(51세),서울특별시 성북구 정릉로,건설노동자,한국외국어대학교 스페인어통번역학과 졸업,(전)통합진보당 원내행정실장(현)민주노총 서울건설지부 교육위원,499240,군복무를 마치지 아니한 사람,1531,121,0,5건,1회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135199,51세,1968.12.26
서울특별시,성북구을,nan,8,국가혁명배당금당,임경호(林京虎),남,1962.07.14(57세),서울특별시 성북구 종암로5길,델타유통 대표,경희대학교 물리학과 졸업,(현)델타유통 대표(현)국가혁명배당금당 성북구을당협위원장,83448,군복무를 마친사람,2310,0,0,없음,0회,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135299,57세,1962.07.14
